GISJOIN,STATE,STATEA,COUNTY,COUNTYA,A08AA1820,A08AA1830,A08AA1840,A08AA1850,A08AA1860,A08AA1870,A08AA1880,A08AA1890,A08AA1900,A08AA1910,A08AA1920,A08AA1930,A08AA1940,A08AA1950,A08AA1960,A08AA1970,A08AA1980,A08AA1990,A08AA2000,A08AA2010,A08AB1820,A08AB1830,A08AB1840,A08AB1850,A08AB1860,A08AB1870,A08AB1880,A08AB1890,A08AB1900,A08AB1910,A08AB1920,A08AB1930,A08AB1940,A08AB1950,A08AB1960,A08AB1970,A08AB1980,A08AB1990,A08AB2000,A08AB2010
"G3600410","New York","360","Hamilton County","0410",668,671,1052,1208,1664,1638,2180,2706,2881,2488,2263,2208,2235,2096,2152,2338,2508,2654,2689,2446,583,654,855,980,1360,1322,1743,2056,2066,1885,1707,1721,1953,2009,2115,2376,2526,2625,2690,2390
"G3600430","New York","360","Herkimer County","0430",15784,18224,19393,19649,20502,20152,21365,22868,25852,29408,33445,32571,30288,30484,32591,32884,32247,31769,31248,31579,15161,17646,18084,18595,20059,19777,21304,22740,25197,26948,31517,31435,29239,30923,33779,34749,34467,34028,33179,32940
"G3600450","New York","360","Jefferson County","0450",17679,25177,31346,34836,35002,32434,32592,34214,38750,40435,41301,42297,42669,41841,42539,42473,42164,56968,57846,59185,15273,23316,29638,33317,34823,32981,33511,34592,37998,39947,40949,41277,41334,43680,45296,46035,45987,53975,53892,57044
"G3600470","New York","360","Kings County","0470",5841,10295,23285,67364,133612,202024,289153,410872,573733,809791,1007859,1283577,1332545,1334030,1263349,1222293,1026997,1071091,1156446,1181378,5346,10240,24328,71518,145510,217897,310342,427675,592849,824560,1010497,1276824,1365740,1404145,1363970,1379719,1203939,1229573,1308880,1323322
"G3600490","New York","360","Lewis County","0490",4842,7922,9199,12564,14908,14762,16276,15504,14192,12883,12296,12248,11955,11671,11771,11799,12512,13379,13379,13620,4385,7317,8631,12000,13672,13937,15140,14302,13235,11966,11408,11199,10860,10850,11478,11845,12523,13417,13565,13467
"G3600510","New York","360","Livingston County","0510",,14135,18452,21003,19902,18919,19575,18686,18522,19488,18625,19034,19621,19892,21561,26158,27394,30091,32269,32816,,13594,16688,19872,19644,19390,19987,19115,18537,18549,18205,18526,18889,20365,22492,27883,29612,32281,32059,32577
"G3600530","New York","360","Madison County","0530",16367,20019,20318,21706,21751,21920,21933,21436,20180,19721,19932,20226,20182,23718,27793,31853,32066,33980,34074,36064,15841,19019,19690,21366,21794,21602,22179,21456,20365,19568,19603,19564,19416,22496,26842,31011,33084,35140,35367,37378
"G3600550","New York","360","Monroe County","0550",,26097,33549,44764,50149,58105,70420,92873,105712,142796,174452,208921,214793,235217,283067,343006,337664,342764,354327,359108,,23758,31353,42886,50499,59763,74483,96713,112142,140416,177582,214960,223437,252415,303320,368911,364574,371204,381016,385236
"G3600570","New York","360","Montgomery County","0570",18950,21995,19143,16521,15651,17293,18889,22684,23473,28840,28521,29776,29488,29386,27823,26839,25532,24731,23736,24447,18611,21720,16675,15471,15215,17164,19426,23015,24015,28727,29407,30300,29654,30208,29417,29044,27907,27250,25972,25772
"G3600590","New York","360","Nassau County","0590",,,,,,,,,27945,43064,62849,150869,200334,329708,632816,689847,635474,621793,642317,647978,,,,,,,,,27503,40866,63271,152184,206414,343057,667355,738233,686108,665555,692227,691554
"G3600610","New York","360","New York County","0610",59683,95014,149654,254106,396990,457117,590514,747579,1020015,1383779,1135708,939352,926133,937838,801779,717352,669704,700573,729534,744441,64023,102098,163056,261441,416679,485175,615785,767722,1030585,1378743,1148395,927960,963791,1022263,896502,821881,758581,786963,807661,841432
"G3600630","New York","360","Niagara County","0630",12238,9764,16247,21757,25257,25010,26915,31494,38126,47827,62056,76871,81598,95193,121058,114769,109638,105755,106122,105008,10752,8718,14885,20519,25142,25427,27258,30997,36835,44209,56649,72458,78512,94799,121211,120951,117716,115001,113724,111461
"G3600650","New York","360","Oneida County","0650",25886,36191,43253,50422,52121,54022,56322,59841,65412,77091,90909,98944,101695,110000,129917,132744,122243,124145,116913,117032,25111,35135,42057,49144,53081,55986,59153,63081,67388,77066,91924,99819,101941,112855,134484,140293,131223,126691,118556,117846
"G3600670","New York","360","Onondaga County","0670",21228,30523,35133,44915,45721,51960,57959,72557,83674,101800,122131,146518,146444,168957,207127,228180,221938,224552,219195,224861,20239,28450,32778,40975,44965,52223,59934,73690,85061,98498,119334,145088,148664,172762,215901,244566,241982,244421,239141,242165
"G3600690","New York","360","Ontario County","0690",45289,20677,22187,22340,22360,22348,24512,24056,24833,26235,26201,27092,28178,30718,34482,38595,43899,46654,48983,52742,42978,19611,21314,21589,22203,22760,25029,24397,24772,26051,26451,27184,27129,29454,33588,40254,45010,48447,51241,55189
"G3600710","New York","360","Orange County","0710",20939,23062,25849,28606,31673,40146,43052,48905,51353,59716,60279,66130,72065,76769,92343,109894,128214,154711,170965,186289,20274,22304,24890,28539,32139,40756,45168,48954,52506,56285,59565,64253,68048,75486,91391,111763,131389,152936,170402,186524
"G3600730","New York","360","Orleans County","0730",,9257,12960,14671,14604,13752,14980,15549,15051,16289,14109,14390,13879,14875,16908,18451,18940,20963,21891,21233,,8475,12167,13830,14113,13937,15148,15254,15113,15711,14510,14405,13881,14957,17251,18854,19556,20883,22280,21650
"G3600750","New York","360","Oswego County","0750",6522,14100,22544,32260,39234,38907,38549,35311,35114,36120,35748,35262,36472,38299,42215,49258,56083,59820,60402,60859,5852,13019,21075,29938,36724,39034,39362,36572,35767,35544,35297,34383,34803,38882,43903,51639,57818,61951,61975,61250
"G3600770","New York","360","Otsego County","0770",22426,25673,24672,24144,25024,24432,25628,25294,24370,23820,23105,23579,23153,24811,24860,26616,28069,28864,29737,30115,22430,25699,24956,24494,25133,24535,25769,25567,24569,23396,23095,23131,22929,25952,27082,29565,31006,31653,31939,32144
"G3600790","New York","360","Putnam County","0790",5664,6357,6606,7163,6949,7652,7722,7764,7001,8140,5510,7131,8642,10239,15776,28065,38246,41895,47748,49789,5604,6271,6219,6975,7053,7768,7459,7085,6786,6525,5292,6613,7913,10068,15946,28631,38947,42046,47997,49921
"G3600810","New York","360","Queens County","0810",10921,11455,15580,18507,29170,36717,45775,65180,77547,144205,233440,537417,638605,750151,862643,932176,878181,927714,1073568,1079803,10598,11005,14744,18326,28221,37086,44799,62879,75452,139836,235602,541712,659029,800698,946935,1054297,1013144,1023884,1155811,1150919
"G3600830","New York","360","Rensselaer County","0830",20037,24757,30235,36261,42381,48731,56297,59742,58031,58505,53678,58267,59195,65220,69310,73819,73968,75824,74691,78709,20077,24667,30024,37102,43947,50818,59031,64769,63666,63771,59451,61514,62639,67387,73275,78691,77998,78605,77847,80720
"G3600850","New York","360","Richmond County","0850",3209,3598,5497,7634,12548,16164,19351,26694,34410,44707,61423,82097,89683,96182,109790,144338,169807,183155,214485,227289,2926,3484,5468,7427,12944,16865,19640,24999,32611,41262,55108,76249,84758,95373,112201,151105,182314,195822,229243,241441
"G3600870","New York","360","Rockland County","0870",4530,4811,6419,8992,11852,12798,13978,18268,20014,24379,23002,30390,37313,43737,67064,112137,125705,128906,139901,152879,4307,4577,5556,7970,10640,12415,13712,16894,18284,22494,22546,29209,36948,45539,69739,117766,133825,136569,146852,158808
"G3600890","New York","360","St. Lawrence County","0890",8513,18873,28944,35015,42452,42007,42578,42466,44878,45045,44828,46410,46280,49757,55661,55490,56532,56309,56861,56852,7524,17481,27762,33602,41235,42819,43419,42582,44205,43960,43293,44550,44818,49140,55578,56501,57722,55665,55070,55092
"G3600910","New York","360","Saratoga County","0910",18118,19419,20508,22809,25545,25267,27057,28026,30218,31318,30001,31971,33003,36638,42955,58705,75149,89512,98879,108059,17934,19260,20045,22837,26184,26262,28099,29637,30871,30599,30028,31343,32603,38231,46141,62974,78610,91764,101756,111548
"G3600930","New York","360","Schenectady County","0930",6567,6256,8954,10342,10006,10481,11682,15411,25136,47060,55527,63925,61051,70436,74155,77468,71262,71195,70479,74856,6309,6091,8433,9712,9996,10866,11856,14386,21716,41175,53836,61096,61443,72061,78741,83511,78684,78090,76076,79871
"G3600950","New York","360","Schoharie County","0950",11878,14035,16255,16946,17272,16603,16409,14460,13656,12149,10920,10064,10773,11537,11297,12134,14549,15560,15713,16375,11269,13867,16103,16602,17197,16737,16501,14704,13198,11706,10383,9603,10039,11166,11319,12616,15161,16299,15869,16374
"G3600970","New York","360","Schuyler County","0970",,,,,9516,9370,9278,8252,7852,6941,6625,6616,6629,7205,7544,8263,8645,9259,9634,9122,,,,,9324,9619,9564,8459,7959,7063,6473,6293,6350,6977,7500,8474,9041,9403,9590,9221
"G3600990","New York","360","Seneca County","0990",12119,10764,12709,12879,14251,13691,14316,13805,13957,13605,12314,12501,12991,14453,15577,17311,16572,16572,16679,18454,11500,10277,12165,12562,13887,14132,14962,14422,14157,13367,12421,12482,12741,14800,16407,17772,17161,17111,16663,16797
"G3601010","New York","360","Steuben County","1010",11550,17501,23839,33268,34065,34048,39365,41838,42225,42519,41034,42215,43657,46553,48638,48829,48414,48676,48365,49126,10439,16350,22299,30503,32625,33669,38221,39635,40597,40843,39593,40456,41270,44886,49053,50717,50803,50412,50361,49864
"G3601030","New York","360","Suffolk County","1030",11885,13416,16550,18457,21576,23295,26734,31361,38614,49037,56193,82003,100377,137068,329990,552028,624843,646460,695010,734668,12045,13364,15919,18465,21699,23629,27154,31130,38968,47101,54053,79052,96978,139061,336794,572922,659388,675404,724359,758682
"G3601050","New York","360","Sullivan County","1050",4627,6523,8208,13337,16866,17908,16540,15820,16536,17157,16952,18381,20150,21400,23275,26762,32934,35549,37643,39614,4273,5841,7421,11751,15519,16642,15951,15211,15770,16651,16211,16891,17751,19331,21997,25818,32221,33728,36323,37933
"G3601070","New York","360","Tioga County","1070",8798,14387,10575,12846,14482,15250,16105,14690,13813,12603,11983,12768,13626,15037,18763,22858,24543,25809,25576,25345,8173,13303,9952,12034,14266,15322,16568,15245,14138,13021,12229,12712,13446,15129,19039,23655,25269,26528,26208,25780
"G3601090","New York","360","Tompkins County","1090",10572,18499,19130,19520,15575,16592,17026,16242,16633,16453,17288,20566,20978,30804,34270,39499,43414,46685,47667,50031,10109,18046,18818,19226,15834,16586,17419,16681,17197,17194,17997,20924,21362,28318,31894,37380,43671,47412,48834,51533
"G3601110","New York","360","Ulster County","1110",15959,18565,23445,30827,38931,42612,43156,43835,44576,48547,37070,40395,44468,46033,58544,68893,77668,81915,88460,90809,14975,17860,22377,28557,37450,41463,42682,43227,43846,43222,37909,39760,42549,46588,60260,72348,80490,83389,89289,91684
"G3601130","New York","360","Warren County","1130",4815,6005,6879,8879,11062,11440,12619,14025,14782,15847,15409,16744,17537,18964,20988,23650,26068,28511,30701,32082,4638,5791,6543,8320,10372,11152,12560,13841,15161,16376,16264,17430,18498,20241,23014,25752,28786,30698,32602,33625
"G3601150","New York","360","Washington County","1150",19723,21581,20844,22808,23135,25068,23955,22647,22818,24402,22802,23985,24463,23871,24209,26156,27238,30464,31301,32758,19108,21054,20236,21942,22769,24500,23916,23043,22806,23376,22086,22497,22263,23273,24267,26569,27557,28866,29741,30458
"G3601170","New York","360","Wayne County","1170",,17281,21540,22983,24274,23715,25599,24459,23935,24808,23688,24460,26401,28328,33716,39079,41561,43921,46430,46520,,16362,20517,21970,23488,23995,26101,25270,24725,25371,25139,25535,26346,28995,34273,40325,43020,45202,47335,47252
"G3601190","New York","360","Westchester County","1190",16413,18934,25821,30115,50120,65739,54012,74008,91324,143784,168340,257028,280153,298364,385807,423206,407933,415280,441722,456661,16225,17522,22865,28148,49377,65609,54976,72764,92933,139271,176096,263919,293405,327452,423084,470898,458666,459586,481737,492452
"G3601210","New York","360","Wyoming County","1210",,,,16233,16058,14514,15460,15695,15255,16073,15003,14644,17125,17477,18232,19608,20612,22673,23535,22953,,,,15748,15910,14650,15447,15498,15158,15807,15311,14120,14269,15345,16561,18080,19283,19834,19889,19202
"G3601230","New York","360","Yates County","1230",,9677,10404,10508,10231,9726,10419,10390,10090,9281,8279,8419,8164,8480,8987,9166,10134,11030,12016,12278,,9332,10040,10082,10059,9869,10668,10611,10228,9361,8362,8429,8217,9135,9627,10665,11325,11780,12605,13070
"G3700010","North Carolina","370","Alamance County","0010",,,,5567,5806,5598,6992,8657,12433,14115,16028,20886,28363,35040,41875,46485,47269,51315,62843,71890,,,,5877,6046,6276,7621,9614,13232,14597,16690,21254,29064,36180,43799,49877,52050,56898,67957,79241
"G3700030","North Carolina","370","Alexander County","0030",,,,2541,2984,3183,4025,4558,5324,5660,5982,6431,6628,7227,7711,9558,12399,13712,16749,18824,,,,2679,3038,3685,4330,4872,5636,5932,6230,6491,6826,7327,7914,9908,12600,13832,16854,18374
"G3700050","North Carolina","370","Alleghany County","0050",,,,,1826,1831,2760,3233,3815,3761,3700,3618,4141,4058,3803,3916,4636,4625,5259,5532,,,,,1764,1860,2726,3290,3944,3984,3703,3568,4200,4097,3931,4218,4951,4965,5418,5623
"G3700070","North Carolina","370","Anson County","0070",6351,7126,7552,6690,6748,5910,8712,9846,10759,12752,14130,14506,14132,13029,12110,11248,12041,10995,12415,14015,6183,6969,7525,6799,6916,6518,9282,10181,11111,12713,14204,14843,14311,13752,12852,12240,13608,12479,12860,12933
"G3700090","North Carolina","370","Ashe County","0090",2255,3574,3806,4441,3998,4651,7249,7791,9860,9479,10501,10412,11398,11034,9825,9620,10885,10748,12031,13489,2080,3413,3661,4336,3958,4922,7188,7837,9721,9595,10500,10607,11266,10844,9943,9951,11440,11461,12353,13792
"G3700110","North Carolina","370","Avery County","0110",,,,,,,,,,,5236,5979,6827,6757,6039,6340,7219,7441,9063,9690,,,,,,,,,,,5099,5824,6734,6595,5970,6315,7190,7426,8104,8107
"G3700130","North Carolina","370","Beaufort County","0130",4971,5706,6190,6932,7504,6487,8701,10577,13287,15342,15460,17322,17929,18273,17521,17202,19168,19953,21438,23008,4879,5263,6035,6884,7262,6524,8773,10495,13117,15535,15564,17704,18502,18861,18493,18778,21187,22330,23520,24751
"G3700150","North Carolina","370","Bertie County","0150",5380,6166,5985,6288,7040,6181,8129,9465,10138,11436,12016,12875,13025,13169,12014,9826,9933,9408,9233,10534,5425,6096,6190,6563,7270,6769,8270,9711,10400,11603,11977,12969,13176,13270,12336,10702,11091,10980,10540,10748
"G3700170","North Carolina","370","Bladen County","0170",3536,3901,3989,4916,6176,6372,7954,8178,8624,8873,9957,11231,13656,15026,14328,12957,14771,13481,15520,16887,3740,3910,4033,4851,5819,6459,8204,8585,9053,9133,9804,11158,13500,14677,14553,13520,15720,15182,16758,18303
"G3700190","North Carolina","370","Brunswick County","0190",2792,3329,2629,3839,4434,3808,4769,5439,6321,7349,7504,7975,8726,9728,10227,12054,17619,24934,35965,52660,2688,3187,2636,3433,3972,3946,4620,5461,6336,7083,7372,7843,8399,9510,10051,12169,18158,26051,37178,54771
"G3700210","North Carolina","370","Buncombe County","0210",5410,8274,5165,6818,6392,7519,10938,17812,21810,24388,31917,47512,52743,60013,62509,68945,76278,82978,99034,114770,5132,8007,4919,6607,6262,7893,10971,17454,22478,25410,32231,50425,56012,64390,67565,76111,84656,91843,107296,123548
"G3700230","North Carolina","370","Burke County","0230",6782,9200,7855,3859,4613,4601,6157,7215,8585,10336,11525,14374,18988,22299,25521,29274,35370,37049,44574,45468,6629,8688,7944,3913,4624,5176,6652,7724,9114,11072,11772,15036,19627,23219,27180,31090,37134,38695,44574,45444
"G3700250","North Carolina","370","Cabarrus County","0250",3706,4521,4714,4932,5295,5762,7358,8817,11082,13109,16792,22300,29737,31087,32924,35839,41240,47841,64541,86944,3542,4289,4545,4815,5251,6192,7606,9325,11374,13131,16938,22031,29656,32696,35213,38790,44655,51094,66522,91067
"G3700270","North Carolina","370","Caldwell County","0270",,,,3068,3656,3954,4977,5969,7796,10324,9948,14106,17988,21565,24472,27647,33141,34665,38235,40848,,,,3249,3841,4522,5314,6329,7898,10255,10036,13910,17807,21787,25080,29052,34605,36044,39180,42181
"G3700290","North Carolina","370","Camden County","0290",3211,3468,2907,3089,2823,2738,3133,2875,2776,2951,2775,2758,2815,2694,2791,2628,2829,2960,3414,5006,3136,3265,2756,2960,2520,2623,3141,2792,2698,2689,2607,2703,2625,2529,2807,2825,3000,2944,3471,4974
"G3700310","North Carolina","370","Carteret County","0310",2773,3249,3233,3377,4045,4472,4818,5365,5875,6936,7746,8434,9199,11657,17099,15571,20435,25968,29157,32829,2836,3348,3358,3562,4141,4538,4966,5460,5936,6840,7638,8466,9085,11402,13841,16032,20657,26588,30226,33640
"G3700330","North Carolina","370","Caswell County","0330",6753,7518,7331,7566,8219,7896,8951,7857,7345,7416,7992,9251,10139,10674,10037,9458,10219,10096,11896,12074,6500,7667,7362,7703,7996,8185,8874,8171,7683,7442,7767,8963,9893,10196,9875,9597,10486,10597,11605,11645
"G3700350","North Carolina","370","Catawba County","0350",,,,4348,5150,5093,7153,9026,10788,13688,16561,21704,25437,30515,35560,43924,50915,57536,69882,75603,,,,4514,5579,5891,7793,9663,11345,14230,17278,22287,26216,31279,37631,46949,54293,60876,71803,78755
"G3700370","North Carolina","370","Chatham County","0370",6324,7660,8024,9117,9376,9518,11416,12523,11861,11305,12099,12406,12681,12965,13420,14606,16401,18807,24268,30654,6337,7745,8218,9332,9725,10205,12037,12890,12051,11330,11715,11771,12045,12427,13365,14948,17014,19952,25061,32851
"G3700390","North Carolina","370","Cherokee County","0390",,,1794,3502,4739,3903,3991,4991,5990,7053,7710,8202,9731,9221,8139,7923,9126,9688,11786,13341,,,1633,3336,4427,4177,4191,4985,5870,7083,7532,7949,9082,9073,8196,8407,9807,10482,12512,14103
"G3700410","North Carolina","370","Chowan County","0410",3307,3302,3225,3305,3359,3049,3822,4560,5072,5557,5394,5513,5644,6253,5717,5262,5909,6275,6805,7030,3157,3395,3465,3416,3483,3401,4078,4607,5186,5746,5255,5769,5928,6287,6012,5502,6649,7231,7721,7763
"G3700430","North Carolina","370","Clay County","0430",,,,,,1225,1679,2132,2287,1924,2339,2763,3249,3084,2818,2522,3268,3485,4272,5223,,,,,,1236,1637,2065,2245,1985,2307,2671,3156,2922,2708,2658,3351,3670,4503,5364
"G3700450","North Carolina","370","Cleveland County","0450",,,,5216,6111,6052,8022,10022,12419,14678,16979,25926,28809,31630,32093,35228,40167,40623,46306,47319,,,,5180,6237,6644,8549,10372,12659,14816,17293,25988,29246,32727,33955,37328,43268,44091,49981,50759
"G3700470","North Carolina","370","Columbus County","0470",1960,2052,1999,2949,4440,4436,7212,8667,10507,14154,15269,19090,23085,25308,24026,22808,24494,23379,26323,28753,1952,2089,1942,2960,4157,4038,7227,9189,10767,13866,14855,18630,22578,25313,24947,24129,26543,26208,28426,29345
"G3700490","North Carolina","370","Craven County","0490",6571,6782,6532,7087,7970,9842,9351,9810,11725,12536,14301,15087,15329,26432,30074,32533,36511,40610,46152,51492,6823,6952,6906,7622,8298,10674,10378,10723,12435,13058,14747,15578,15969,22391,28699,30021,34532,41003,45284,52013
"G3700510","North Carolina","370","Cumberland County","0510",7292,7323,7473,10222,8153,8106,11493,13373,14047,17199,17677,23114,31248,53513,81456,118237,130174,142001,153221,154328,7154,7511,7811,10388,8216,8929,12343,13948,15202,18085,17387,22105,28072,42493,66962,93805,116986,132565,149742,165103
"G3700530","North Carolina","370","Currituck County","0530",4140,3771,3257,3578,3770,2640,3337,3510,3368,4019,3811,3431,3475,3211,3339,3479,5649,6920,9032,11669,3958,3884,3446,3658,3645,2491,3139,3237,3161,3674,3457,3279,3234,2990,3262,3497,5440,6816,9158,11878
"G3700550","North Carolina","370","Dare County","0550",,,,,,1406,1650,1951,2486,2515,2641,2654,3091,2683,2925,3403,6656,11306,15098,16956,,,,,,1372,1593,1817,2271,2326,2474,2548,2950,2722,3010,3592,6721,11440,14869,16964
"G3700570","North Carolina","370","Davidson County","0570",,6736,7153,7585,8269,8415,9934,10581,11478,14804,17890,24072,26622,30914,39345,47026,55222,62097,72118,79797,,6653,7453,7735,8332,8999,10399,11121,11925,14600,17311,23793,26755,31330,40148,48601,57940,64580,75128,83081
"G3700590","North Carolina","370","Davie County","0590",,,3759,3892,4242,4637,5396,5659,6125,6612,6677,7149,7568,7723,8363,9206,12097,13670,17149,20136,,,3815,3974,4252,4983,5700,5962,5990,6782,6901,7237,7341,7697,8365,9649,12502,14189,17686,21104
"G3700610","North Carolina","370","Duplin County","0610",4819,5755,5543,6696,7828,7596,9143,8901,10970,12655,15389,17682,19995,20613,19830,18422,19631,19182,24317,28758,4925,5536,5639,6818,7956,7946,9630,9789,11435,12787,14834,17421,19744,20461,20440,19593,21321,20813,24746,29747
"G3700630","North Carolina","370","Durham County","0630",,,,,,,,8782,12761,17025,20438,32442,38103,49327,53606,62876,71442,85765,107630,127656,,,,,,,,9259,13472,18251,21781,34754,42141,52312,58389,69805,81343,96070,115684,139931
"G3700650","North Carolina","370","Edgecombe County","0650",6661,7530,7947,8545,8817,11572,13130,11769,13211,15874,18898,23629,24055,24942,26236,25011,26176,25845,25846,26239,6615,7405,7761,8644,8559,11398,13051,12344,13380,16136,19097,24265,25107,26692,27990,27330,29812,30713,29760,30313
"G3700670","North Carolina","370","Forsyth County","0670",,,,5430,6269,6016,8832,14203,17447,23762,38693,54258,60831,69887,90908,101446,115042,125379,146217,166419,,,,5738,6423,7034,9238,14231,17814,23549,38576,57423,65644,76248,98520,112902,128641,140499,159850,184251
"G3700690","North Carolina","370","Franklin County","0690",4829,5298,5520,5744,7038,6854,10294,10453,12592,12479,13324,14655,15271,15822,14276,12996,14460,17483,23314,30166,4912,5367,5460,5969,7069,7280,10535,10637,12524,12213,13343,14801,15111,15519,14479,13824,15595,18931,23946,30453
"G3700710","North Carolina","370","Gaston County","0710",,,,4044,4548,5951,6916,8638,13771,18226,25428,38394,43110,54291,61727,71643,77901,84130,92094,99718,,,,4029,4759,6651,7338,9126,14132,18837,25814,39699,44421,56545,65347,76772,84667,90963,98271,106368
"G3700730","North Carolina","370","Gates County","0730",3787,4010,3963,4101,4142,3677,4277,5090,5071,5195,5244,5276,5140,4871,4611,4260,4429,4597,5155,5962,3050,3856,4198,4325,4301,4047,4620,5162,5342,5260,5293,5275,4920,4684,4643,4264,4446,4708,5361,6235
"G3700750","North Carolina","370","Graham County","0750",,,,,,,1155,1701,2210,2448,2501,3101,3301,3508,3191,3268,3595,3573,3900,4367,,,,,,,1180,1612,2133,2301,2371,2740,3117,3378,3241,3294,3622,3623,4093,4494
"G3700770","North Carolina","370","Granville County","0770",9264,9514,9274,10515,11614,11972,15558,12125,11532,12486,13380,14393,14771,15753,16245,16164,16903,18988,25484,32015,8952,9841,9543,10734,11782,12859,15728,12359,11731,12616,13466,14330,14573,16040,16865,16598,17140,19357,23014,27901
"G3700790","North Carolina","370","Greene County","0790",2282,3246,3277,3193,3971,4254,4932,4859,6001,6696,8242,9359,9369,9124,8366,7324,7867,7657,9748,11457,2251,3167,3318,3426,3954,4433,5105,5180,6037,6387,7970,9297,9179,8900,8375,7643,8250,7727,9226,9905
"G3700810","North Carolina","370","Guilford County","0810",7551,9375,9466,9765,10108,10253,11322,13760,19343,29804,39233,65373,75042,91320,118278,136323,149733,164204,201729,232483,6960,9362,9709,9989,9948,11483,12263,14292,19731,30693,40039,67637,78874,99737,128242,152267,167421,183216,219319,255923
"G3700830","North Carolina","370","Halifax County","0830",8778,8854,8264,8149,9669,10106,15212,14227,15444,18643,21842,26595,28046,28668,28969,25977,26507,26352,27284,26137,8459,8885,8601,8440,9773,10302,15088,14681,15349,19003,21924,26651,28466,29709,29987,27907,28779,29164,30086,28554
"G3700850","North Carolina","370","Harnett County","0850",,,,,4057,4411,5362,6787,7855,11125,14246,19059,22287,23856,23899,24492,29145,32928,44923,56199,,,,,3982,4484,5500,6913,8133,11049,14067,18852,21952,23749,24337,25175,30425,34894,46102,58479
"G3700870","North Carolina","370","Haywood County","0870",2028,2329,2554,3551,2851,3835,5097,6784,8187,10987,12118,14318,17631,18822,19486,20292,22514,22382,25897,28502,2045,2249,2421,3523,2950,4086,5174,6562,8035,10033,11378,13955,17173,18809,20225,21418,23981,24560,28136,30534
"G3700890","North Carolina","370","Henderson County","0890",,,2588,3516,5281,3751,5019,6243,7093,8079,9042,11634,12872,15110,17493,20505,28060,33116,43171,51560,,,2541,3337,5167,3955,5262,6346,7011,8183,9206,11770,13177,15811,18670,22299,30520,36169,46002,55180
"G3700910","North Carolina","370","Hertford County","0910",3848,4298,3751,4024,4765,4410,5816,6889,7136,7709,8040,8782,9817,10717,11135,11288,11192,10444,10384,12062,3864,4239,3733,4118,4739,4863,6027,6962,7158,7727,8254,8760,9535,10736,11583,12241,12176,12079,12217,12607
"G3700930","North Carolina","370","Hoke County","0930",,,,,,,,,,,5806,7069,7472,7808,8128,8291,10047,11448,16987,22878,,,,,,,,,,,5916,7175,7465,7948,8228,8145,10336,11408,16659,24074
"G3700950","North Carolina","370","Hyde County","0950",2472,3143,3414,3910,4060,3293,3948,4480,4721,4490,4220,4306,3889,3213,2857,2715,2857,2650,3080,3226,2495,3041,3044,3726,3672,3152,3817,4423,4557,4350,4166,4244,3971,3266,2908,2856,3016,2761,2746,2584
"G3700970","North Carolina","370","Iredell County","0970",6493,7481,7762,7182,7479,7908,10876,12301,14245,16778,18824,23085,24786,27481,30437,34794,39864,44927,60120,78491,6578,7437,7923,7537,7868,9023,11799,13161,14819,17537,19132,23608,25638,28822,32089,37403,42674,48004,62540,80946
"G3700990","North Carolina","370","Jackson County","0990",,,,,2842,3298,3643,4761,6111,6588,6813,9051,9914,9807,8952,10768,12675,12947,16174,20043,,,,,2673,3385,3700,4751,5742,6410,6583,8468,9452,9454,8828,10825,13136,13899,16947,20228
"G3701010","North Carolina","370","Johnston County","1010",4876,5500,5269,6902,7873,8352,11581,13499,16153,20818,24779,28792,32054,32857,30970,29786,33975,39256,60594,83150,4731,5438,5330,6824,7783,8545,11880,13740,16097,20583,24219,28829,31744,33049,31966,31951,36624,42050,61371,85728
"G3701030","North Carolina","370","Jones County","1030",2669,2749,2493,2500,2921,2510,3761,3672,4113,4348,5036,5225,5498,5504,5520,4803,4578,4429,5001,4883,2547,2859,2452,2538,2809,2492,3730,3731,4113,4373,4876,5203,5428,5500,5485,4976,5127,4985,5380,5270
"G3701050","North Carolina","370","Lee County","1050",,,,,,,,,,5542,6559,8477,9450,11848,13076,14721,17558,19948,24213,28264,,,,,,,,,,5834,6841,8519,9293,11674,13485,15746,19160,21426,24827,29602
"G3701070","North Carolina","370","Lenoir County","1070",3354,3891,3820,3921,5109,5084,7502,7280,9263,11158,14713,17509,20080,22241,26548,26213,28235,26722,28312,28397,3445,3832,3785,3907,5111,5350,7842,7599,9376,11611,14842,18207,21131,23712,28728,28991,31584,30552,31336,31098
"G3701090","North Carolina","370","Lincoln County","1090",9312,11456,12426,3832,4101,4472,5341,6085,7632,8368,8826,11395,12120,13693,14218,15993,20771,24748,31720,38813,8835,10999,12734,3914,4094,5101,5720,6501,7866,8764,9036,11477,12067,13766,14596,16689,21601,25571,32060,39452
"G3701110","North Carolina","370","McDowell County","1110",,,,3087,3560,3913,4847,5405,6225,6827,8404,10226,11596,12746,13120,14849,17048,17389,21002,22517,,,,3159,3560,3679,4989,5534,6342,6711,8359,10110,11400,12974,13622,15799,18087,18292,21149,22479
"G3701130","North Carolina","370","Macon County","1130",,2737,2459,3214,3060,3197,3932,4966,5971,6093,6520,7023,8185,8134,7409,7738,9805,11272,14289,16495,,2596,2410,3175,2944,3418,4132,5136,6133,6098,6367,6649,7695,8040,7526,8050,10373,12227,15522,17427
