GISJOIN,STATE,STATEA,COUNTY,COUNTYA,A08AA1820,A08AA1830,A08AA1840,A08AA1850,A08AA1860,A08AA1870,A08AA1880,A08AA1890,A08AA1900,A08AA1910,A08AA1920,A08AA1930,A08AA1940,A08AA1950,A08AA1960,A08AA1970,A08AA1980,A08AA1990,A08AA2000,A08AA2010,A08AB1820,A08AB1830,A08AB1840,A08AB1850,A08AB1860,A08AB1870,A08AB1880,A08AB1890,A08AB1900,A08AB1910,A08AB1920,A08AB1930,A08AB1940,A08AB1950,A08AB1960,A08AB1970,A08AB1980,A08AB1990,A08AB2000,A08AB2010
"G4801770","Texas","480","Gonzales County","1770",,,,777,4364,4603,7687,9385,15037,14425,14419,14457,13149,10505,8694,7871,8192,8424,9239,9959,,,,715,3695,4348,7153,8631,13845,13630,14019,13880,12926,10659,9151,8504,8691,8781,9389,9848
"G4801790","Texas","480","Gray County","1790",,,,,,,50,131,262,1800,2446,11924,12197,12447,15648,12947,12790,11497,11594,11703,,,,,,,6,72,218,1605,2217,10166,11714,12281,15887,14002,13596,12470,11150,10832
"G4801810","Texas","480","Grayson County","1810",,,,1078,4380,7476,20069,28064,32901,33686,37573,32851,34408,34984,35708,40097,42880,45339,53579,58917,,,,930,3804,6911,18039,25147,30760,32310,36592,32992,35091,35483,37335,43128,46916,49682,57016,61960
"G4801830","Texas","480","Gregg County","1830",,,,,,,4409,4693,6173,7066,8450,7755,28615,29829,33681,36591,48520,50339,53908,59468,,,,,,,4121,4709,6170,7074,8317,8023,29412,31429,35755,39338,50967,54609,57471,62262
"G4801850","Texas","480","Grimes County","1850",,,,2128,5566,6954,9437,10663,13096,10648,11769,11493,10939,7523,6189,5678,6577,10277,12722,14487,,,,1880,4741,6264,9166,10649,13010,10557,11332,11149,11021,7612,6520,6177,7003,8551,10830,12117
"G4801870","Texas","480","Guadalupe County","1870",,,,823,2785,3771,6370,7892,11042,12968,14146,15029,12988,12617,14268,16256,22821,32016,43833,64762,,,,688,2659,3511,5832,7325,10343,11945,13573,13896,12608,12775,14749,17298,23887,32857,45190,66771
"G4801890","Texas","480","Hale County","1890",,,,,,,0,428,906,4058,5283,10437,9613,14421,18499,16642,18258,16989,18518,18737,,,,,,,0,293,774,3508,4821,9752,9200,13790,18299,17495,19334,17682,18084,17536
"G4801910","Texas","480","Hall County","1910",,,,,,,29,421,865,4361,5828,8869,6211,5558,3631,2868,2659,1832,1809,1657,,,,,,,7,282,805,3918,5309,8097,5906,5372,3691,3147,2935,2073,1973,1696
"G4801930","Texas","480","Hamilton County","1930",,,,,256,391,3365,4894,6886,7681,7450,6925,6786,5311,4097,3369,3978,3679,3977,4195,,,,,233,342,3000,4419,6634,7634,7226,6598,6517,5349,4391,3829,4319,4054,4252,4322
"G4801950","Texas","480","Hansford County","1950",,,,,,,16,75,99,543,780,1942,1451,2186,3141,3187,3074,2913,2636,2803,,,,,,,2,58,68,392,574,1606,1332,2016,3067,3164,3135,2935,2733,2810
"G4801970","Texas","480","Hardeman County","1970",,,,,,,42,2244,1965,6042,6647,7481,5615,5139,4022,3157,2971,2504,2230,2051,,,,,,,8,1660,1669,5171,5840,7051,5458,5073,4253,3638,3397,2779,2494,2088
"G4801990","Texas","480","Hardin County","1990",,,,,734,740,937,2144,2754,7180,8411,7067,8144,9915,12340,14792,20027,20279,23630,26942,,,,,619,720,933,1812,2295,5767,7572,6869,7731,9620,12289,15204,20694,21041,24443,27693
"G4802010","Texas","480","Harris County","2010",,,,2454,4989,8762,14074,19337,32718,59580,94398,181433,262478,398716,608636,851888,1201756,1400246,1693882,2037405,,,,2214,4081,8613,13911,17912,31068,56113,92269,177895,266483,407985,634522,890024,1207791,1417953,1706696,2055054
"G4802030","Texas","480","Harrison County","2030",,,,6039,7766,6712,12753,13375,15830,18485,21512,24143,25213,23319,21847,21308,25056,27626,30115,32224,,,,5783,7235,6529,12424,13346,16048,18758,22053,24794,25687,24426,23747,23533,27209,29857,31995,33407
"G4802050","Texas","480","Hartley County","2050",,,,,,,75,169,238,707,577,1207,980,991,1100,1358,1961,1746,3358,3700,,,,,,,25,83,139,591,532,978,893,922,1071,1424,2026,1888,2179,2362
"G4802070","Texas","480","Haskell County","2070",,,,,,,43,901,1426,8518,7412,8534,7558,6961,5594,4139,3739,3282,2868,3104,,,,,,,5,764,1211,7731,6781,8135,7347,6775,5580,4373,3986,3538,3225,2795
"G4802090","Texas","480","Hays County","2090",,,,209,1109,2124,4069,6022,7304,8024,8023,7601,7679,8781,9817,13283,19775,32911,49120,78255,,,,178,1017,1964,3486,5330,6838,7494,7897,7314,7670,9059,10117,14359,20819,32703,48469,78852
"G4802110","Texas","480","Hemphill County","2110",,,,,,,95,310,449,1708,2258,2476,2118,2129,1610,1524,2717,1816,1686,1928,,,,,,,54,209,366,1462,2022,2161,2052,1994,1575,1560,2587,1904,1665,1879
"G4802130","Texas","480","Henderson County","2130",,,,671,2395,3387,5221,6393,10564,10505,14584,15795,16365,11789,10592,12706,20684,28386,35929,38468,,,,566,2200,3399,4514,5892,9406,9626,13743,14788,15457,11616,11194,13760,21922,30157,37348,40064
"G4802150","Texas","480","Hidalgo County","2150",,,,,676,1313,2272,3375,3494,7370,20252,39756,54209,82589,90004,86986,135917,185199,276523,376944,,,,,516,1074,2075,3159,3343,6358,17858,37248,51850,77857,90900,94549,147312,198346,292940,397825
"G4802170","Texas","480","Hill County","2170",,,,,1949,3867,8872,14715,21650,24246,22033,21941,19214,15617,11480,10788,11812,12998,15887,17208,,,,,1704,3586,7682,12868,19705,22514,21299,21095,19141,15665,12170,11808,13212,14148,16434,17881
"G4802190","Texas","480","Hockley County","2190",,,,,,,0,,27,79,78,5005,6751,10517,11390,10263,11651,11942,11146,11297,,,,,,,0,,17,58,59,4293,5942,9890,10950,10133,11579,12257,11570,11638
"G4802210","Texas","480","Hood County","2210",,,,,,1362,3217,3996,4701,5150,4463,3438,3404,2660,2695,3081,8797,14385,20152,25181,,,,,,1223,2908,3618,4445,4858,4296,3341,3270,2627,2748,3287,8917,14596,20948,26001
"G4802230","Texas","480","Hopkins County","2230",,,,1370,3981,6397,8052,10564,14462,16070,17883,14986,15342,11762,9020,10008,12196,14133,15659,17421,,,,1253,3764,6254,7409,10008,13488,14968,16908,14424,14932,11728,9574,10702,13051,14700,16301,17740
"G4802250","Texas","480","Houston County","2250",,,,1419,4219,4053,8586,9784,13085,15220,14562,15691,16194,11410,10337,9036,12227,10844,12355,12769,,,,1302,3839,4094,8116,9576,12367,14344,14039,14326,14943,11415,9039,8819,10072,10531,10830,10963
"G4802270","Texas","480","Howard County","2270",,,,,,,45,705,1327,4714,3648,12102,10635,13395,20366,18868,16356,16288,18205,19720,,,,,,,5,505,1201,4167,3314,10786,10355,13327,19773,18928,16786,16055,15422,15292
"G4802290","Texas","480","Hudspeth County","2290",,,,,,,,,,,528,2015,1747,2390,1878,1195,1416,1505,1696,1750,,,,,,,,,,,434,1713,1402,1908,1465,1197,1312,1410,1648,1726
"G4802310","Texas","480","Hunt County","2310",,,,802,3506,5281,9164,16744,24561,24745,25507,24598,24211,20865,19131,23411,26729,31435,37921,42700,,,,718,3124,5010,8066,15141,22734,23371,24843,24418,24582,21866,20268,24537,28519,32908,38675,43429
