GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,NAME,A08AA,A08AB
"G1801730","1820","Indiana","180","Warrick","1730","Warrick",928,821
"G1801750","1820","Indiana","180","Washington","1750","Washington",4659,4380
"G1801770","1820","Indiana","180","Wayne","1770","Wayne",6293,5826
"G2100010","1820","Kentucky","210","Adair","0010","Adair",4432,4333
"G2100030","1820","Kentucky","210","Allen","0030","Allen",2591,2736
"G2100090","1820","Kentucky","210","Barren","0090","Barren",5237,5091
"G2100110","1820","Kentucky","210","Bath","0110","Bath",4106,3855
"G2100150","1820","Kentucky","210","Boone","0150","Boone",3415,3127
"G2100170","1820","Kentucky","210","Bourbon","0170","Bourbon",8770,8894
"G2100230","1820","Kentucky","210","Bracken","0230","Bracken",2680,2600
"G2100270","1820","Kentucky","210","Breckinridge","0270","Breckinridge",3857,3628
"G2100290","1820","Kentucky","210","Bullitt","0290","Bullitt",3024,2807
"G2100310","1820","Kentucky","210","Butler","0310","Butler",1573,1510
"G2100330","1820","Kentucky","210","Caldwell","0330","Caldwell",4625,4397
"G2100370","1820","Kentucky","210","Campbell","0370","Campbell",3620,3402
"G2100450","1820","Kentucky","210","Casey","0450","Casey",2138,2211
"G2100470","1820","Kentucky","210","Christian","0470","Christian",5297,5162
"G2100490","1820","Kentucky","210","Clark","0490","Clark",5853,5596
"G2100510","1820","Kentucky","210","Clay","0510","Clay",2332,2061
"G2100570","1820","Kentucky","210","Cumberland","0570","Cumberland",4098,3960
"G2100590","1820","Kentucky","210","Daviess","0590","Daviess",1979,1897
"G2100650","1820","Kentucky","210","Estill","0650","Estill",1824,1683
"G2100670","1820","Kentucky","210","Fayette","0670","Fayette",11729,11521
"G2100690","1820","Kentucky","210","Fleming","0690","Fleming",6145,6041
"G2100710","1820","Kentucky","210","Floyd","0710","Floyd",4337,3870
"G2100730","1820","Kentucky","210","Franklin","0730","Franklin",5697,5253
"G2100770","1820","Kentucky","210","Gallatin","0770","Gallatin",3634,3441
"G2100790","1820","Kentucky","210","Garrard","0790","Garrard",5401,5450
"G2100810","1820","Kentucky","210","Grant","0810","Grant",924,881
"G2100850","1820","Kentucky","210","Grayson","0850","Grayson",2042,2013
"G2100870","1820","Kentucky","210","Green","0870","Green",6204,5739
"G2100890","1820","Kentucky","210","Greenup","0890","Greenup",2303,2008
"G2100930","1820","Kentucky","210","Hardin","0930","Hardin",5325,5173
"G2100950","1820","Kentucky","210","Harlan","0950","Harlan",1012,949
"G2100970","1820","Kentucky","210","Harrison","0970","Harrison",6073,6205
"G2100990","1820","Kentucky","210","Hart","0990","Hart",2125,2059
